id;customer_name;date_became_customer;mobile_no
1;Assistant;2020-09-09;Money Market Account
2;wireless mint green;2020-09-09;Bedfordshire Security
3;Team-oriented;2020-09-09;index
4;Auto Loan Account;2020-09-09;functionalities
5;sky blue Consultant Malta;2020-09-09;deposit multi-byte indexing
6;Ball Extended;2020-09-09;Pa'anga Directives Direct
7;Villages fuchsia Administrator;2020-09-09;Uzbekistan Sum
8;artificial intelligence;2020-09-09;Ergonomic California withdrawal
9;invoice secondary database;2020-09-09;Tennessee deposit transmit
10;Ford;2020-09-09;Small Credit Card Account Chicken
