id;doctor_name;doctor_hospital;doctor_speciality;mobile_no
1;program Yen SMS;Sleek Cotton Keyboard;deposit Metal;Berkshire Savings Account
2;connecting;deposit Clothing;Iowa navigating Iceland;program
3;Accountability rich Granite;users;Coordinator;back up
4;bypassing;monetize Berkshire Points;Home Loan Account;enable Customer
5;Avon Dynamic;GB solutions;Credit Card Account;infomediaries Gorgeous Plastic Fish
6;mission-critical;TCP;Hollow;Avon Plastic matrix
7;CSS;multi-byte Wooden;Forint Coordinator purple;Rand Namibia Dollar
8;digital Ergonomic Wooden Chicken Wooden;Accounts;orchid;Fish
9;Metal incentivize Licensed Granite Pizza;24/365 engage;primary hacking;Awesome Steel Salad withdrawal
10;revolutionize functionalities feed;B2C Chicken;leverage;SCSI
